spam	Trading automatizado con IA. Gana mientras duermes. Inversión mínima S/200. Comprobantes reales. WhatsApp.
spam	Interbank sortea 3 autos 0km. Tu número fue seleccionado. Responde con tu nombre completo y DNI para participar.
spam	BILL GATES dará S/5,000 a las primeras 1000 personas que compartan este mensaje. ¡Actúa ya!
ham	¿Fuiste al médico? ¿Qué te dijeron? Espero que no sea nada serio.
ham	Eso está genial, felicitaciones en serio.
spam	Gana hasta 30% mensual invirtiendo en forex. Sin conocimiento previo. Te enseñamos gratis. Escríbenos.
ham	Oye, ¿a qué hora es la reunión mañana? Me confundí con el horario.
spam	Claro Premio: Acumula puntos y gana. Tu cuenta tiene 9,800 puntos. Canjea hoy en: claro-puntos.net
spam	¡URGENTE! Tienes un paquete retenido en aduanas. Paga S/15 de liberación aquí: aduana-peru.tk/liberar
spam	BCP INFORMA: TU CUENTA HA SIDO PREMIADA CON S/2,500. INGRESA AQUÍ PARA RECLAMAR: BIT.LY/PREMIO-BCP123
ham	Ya llegué al paradero, espérame 5 minutos que estoy bajando del micro. Saludos.
ham	¿A qué hora abre Wong los domingos? Quiero ir a comprar antes de que cierren.
spam	Oportunidad única: Vende por Instagram y gana comisión del 40%. Sin inversión inicial. Info al 987556644
ham	Oye, el agua se cortó en el edificio hasta las 6pm. Avisa a todos.
ham	Ya puse la olla en el fuego. Llegas en media hora no? Para que esté listo. Saludos.
spam	1xBet: Bono de bienvenida del 200% en tu primer depósito. Hasta soles 500 gratis. Entra ya: 1xbet-peru.net
spam	OFERTA ESPECIAL: Préstamo de S/2,000 a pagar en 6 meses cómodas cuotas. Aplica ahora: prestamo-facil.pe Responde YA.
spam	falabella financiero: tu cmr tiene un cargo no reconocido de s/340. disputa aquí: cmr-reclamo.xyz
ham	Encontré un depa en San Miguel de S/800 al mes, con servicios incluidos. ¿Interesa?
ham	¿Ya subiste tu parte del trabajo grupal al drive? Necesito revisarlo hoy.
spam	PLIN DETECTÓ UN INTENTO DE ROBO EN TU CUENTA. CONFIRMA TU IDENTIDAD: PLIN-VERIFICACION.NET/CONFIRMAR
ham	Bro el profe puso las notas en el portal. Entra a revisar las tuyas.
ham	Mamá, hoy voy a llegar tarde. No me esperes para cenar, come sin mí.
ham	¿Fuiste al médico? ¿Qué te dijeron? Espero que no sea nada serio. Saludos.
ham	Este fin de semana vamos a Lurín. ¿Vienen o no? Confirmen para separar lugar. Saludos.
ham	Mi mamá hizo caldo de gallina, ven a comer si quieres, hay bastante. Saludos.
ham	Acabo de ver tu historia. ¿Dónde queda ese restaurante? Se veía rico. Saludos.
spam	Claro Premio: Acumula puntos y gana. Tu cuenta tiene 9,800 puntos. Canjea hoy en: claro-puntos.net Responde YA.
ham	Flaco, ¿viste el partido anoche? Qué golazo metió Guerrero, loco. Saludos.
ham	El cliente confirmó la reunión para el martes a las 10am en sus oficinas. Saludos.
spam	Detox completo en 7 días. Pierde 5kg y limpia tu organismo. Kit completo S/89. Delivery gratis.
ham	El partido de la U es el domingo a las 3pm. ¿Lo ves en casa o en el estadio?
spam	BCP ALERTA: Tu cuenta será bloqueada en 24h. Verifica tus datos en: bcp-seguro.xyz/verificar urgente.
ham	Buenos días equipo, la reunión de hoy se pasa a las 4pm por zoom. Misma sala. Saludos.
ham	¿Cómo estás? Tiempo sin saber de ti.
spam	URGENTE: Se necesita personal para trabajar desde casa. Pago diario S/80-200. WhatsApp: 956778899 Responde YA.
ham	En el Makro están vendiendo aceite más barato que en el mercado. Aprovecha.
ham	Bendiciones para ti también, cuídate.
spam	¿TU BANCO TE RECHAZÓ? NOSOTROS SÍ TE APROBAMOS. PRÉSTAMOS DESDE S/500 HASTA S/10,000. RESPONDE QUIERO.
spam	Falabella Financiero: Tu CMR tiene un cargo no reconocido de S/340. Disputa aquí: cmr-reclamo.xyz
ham	Oye pasaste la práctica de cálculo? Yo no entendí nada de integrales.
ham	Mi abuela está en el hospital, cualquier cosa les aviso. Gracias por preguntar. Saludos.
ham	¿Cuánto te debo del mercado? Dime para hacerte la transferencia hoy. Saludos.
spam	Clases de inglés online S/30/mes ilimitado. Certificado internacional incluido. Info: 956223344
spam	Tu cuenta de Yape fue comprometida. Bloquéala ingresando tu PIN en: yape-seguro.com/bloquear
spam	Elimina las varices en casa. Tratamiento natural. Envío gratis a Lima y provincias. Llama: 945112233
spam	Seguro SOAT más barato del mercado. S/120 todo el año. Legal y válido. Contáctanos: 956889900
spam	Reclutamos promotores online. Gana S/500 semanales compartiendo enlaces. Fácil y rápido. Escríbenos. Responde YA.
ham	Oye, ¿a qué hora es la reunión mañana? Me confundí con el horario. Saludos.
spam	Alerta: virus peligroso detectado en WhatsApp. Reenvía a tus contactos para protegerlos. ¡URGENTE!
spam	BCP INFORMA: Tu cuenta ha sido premiada con S/2,500. Ingresa aquí para reclamar: bit.ly/premio-bcp123
ham	No te preocupes, pasa sin querer.
spam	Pastillas para bajar 10kg en 2 semanas sin dieta ni ejercicio. Resultado garantizado o te devolvemos. Pide ya.
spam	DINERO FÁCIL Y RÁPIDO. SIN GARANTE. SIN RECIBOS DE SUELDO. SOLO DNI VIGENTE. DEPÓSITO YAPE/PLIN EN MINUTOS.
ham	¿Sabes si hay Metropolitano de noche? Tengo que llegar a Chorrillos.
ham	Mañana es el último día para registrarse en el seminario. Pasa la voz.
ham	Mañana hay huelga de transportes, mejor sal temprano o busca otra ruta. Saludos.
ham	¿Puedes traer pan cuando vayas al mercado? Y si hay, también trae chicha morada. Saludos.
ham	¿Sabes si el policlínico de San Isidro atiende los sábados? Para la niña.
spam	¡Gana dinero apostando al fútbol! Copa Libertadores esta noche. Cuotas increíbles. Regístrate gratis.
spam	GANASTE un iPhone 15 Pro en nuestro sorteo. Envía tu DNI y dirección al 956123456 para coordinamos la entrega. ¡No pierdas tu premio!
spam	MOVISTAR: Ganaste 10GB de internet gratis. Activa tu regalo entrando a: movistar-regalo.xyz/activar ahora.
spam	YAPE te regala S/50 por ser cliente fiel. Haz clic en el enlace para activar tu bono: yape-bono.net/activar
ham	Este fin de semana vamos a Lurín. ¿Vienen o no? Confirmen para separar lugar.
ham	Hijita, ya estoy llegando a casa. ¿Quieres que compre algo en el camino? Saludos.
spam	Dinero fácil y rápido. Sin garante. Sin recibos de sueldo. Solo DNI vigente. Depósito Yape/Plin en minutos.
spam	Pollada pro fondos: Compra tu cartón al 967554433. Premio mayor S/2,000. Sorteo este sábado.
spam	Empleo en Canadá, España y EEUU. Te ayudamos con visa y pasajes. Consulta gratis: 987556677
ham	Doctora, confirmando mi cita para el martes 10am. ¿Sigo en ayunas?
spam	Betano te regala soles 100 para apostar gratis. Sin depósito mínimo. Regístrate: betano-bono.pe/gratis
spam	Reenvía este mensaje a 10 personas y Yape te depositará S/20 automáticamente. ¡Comprobado! No pierdas.
